	microcluster
SRR2921282	10
SRR2921283	24
SRR2921284	12
SRR2921285	24
SRR2921286	24
SRR2921287	12
SRR2921288	11
SRR2921289	11
SRR2921290	24
SRR2921291	24
SRR2921292	14
SRR2921293	14
SRR2921294	24
SRR2921295	9
SRR2921296	14
SRR2921297	14
SRR2921298	11
SRR2921299	27
SRR2921300	24
SRR2921301	10
SRR2921302	27
SRR2921303	12
SRR2921304	9
SRR2921305	27
SRR2921306	23
SRR2921307	28
SRR2921308	14
SRR2921309	24
SRR2921310	12
SRR2921311	12
SRR2921312	15
SRR2921313	14
SRR2921314	24
SRR2921315	9
SRR2921316	24
SRR2921317	24
SRR2921318	28
SRR2921319	9
SRR2921320	11
SRR2921321	14
SRR2921322	24
SRR2921323	14
SRR2921324	24
SRR2921325	24
SRR2921326	23
SRR2921327	14
SRR2921328	14
SRR2921329	14
SRR2921330	14
SRR2921331	26
SRR2921332	27
SRR2921333	24
SRR2921334	14
SRR2921335	12
SRR2921336	28
SRR2921337	27
SRR2921338	12
SRR2921339	24
SRR2921340	11
SRR2921341	9
SRR2921342	14
SRR2921343	11
SRR2921344	9
SRR2921345	12
SRR2921346	28
SRR2921347	14
SRR2921348	25
SRR2921349	11
SRR2921350	25
SRR2921351	28
SRR2921352	27
SRR2921353	10
SRR2921354	10
SRR2921355	9
SRR2921356	27
SRR2921357	27
SRR2921358	16
SRR2921359	24
SRR2921360	27
SRR2921361	28
SRR2921362	23
SRR2921363	28
SRR2921364	24
SRR2921365	11
SRR2921366	10
SRR2921367	27
SRR2921368	12
SRR2921369	9
SRR2921370	10
SRR2921371	23
SRR2921372	27
SRR2921373	10
SRR2921374	12
SRR2921375	23
SRR2921376	28
SRR2921377	9
SRR2921378	24
SRR2921379	23
SRR2921380	11
SRR2921381	11
SRR2921382	11
SRR2921383	10
SRR2921384	12
SRR2921385	27
SRR2921386	12
SRR2921387	11
SRR2921388	12
SRR2921389	12
SRR2921390	13
SRR2921391	24
SRR2921392	11
SRR2921393	11
SRR2921394	24
SRR2921395	11
SRR2921396	10
SRR2921397	11
SRR2921398	24
SRR2921399	24
SRR2921400	12
SRR2921401	12
SRR2921402	24
SRR2921403	24
SRR2921404	10
SRR2921405	12
SRR2921406	9
SRR2921407	28
SRR2921408	10
SRR2921409	23
SRR2921410	10
SRR2921411	12
SRR2921412	9
SRR2921413	10
SRR2921414	14
SRR2921415	12
SRR2921416	10
SRR2921417	11
SRR2921418	12
SRR2921419	11
SRR2921420	24
SRR2921562	4
SRR2921563	3
SRR2921564	7
SRR2921565	3
SRR2921566	20
SRR2921567	18
SRR2921568	2
SRR2921569	21
SRR2921570	17
SRR2921571	6
SRR2921572	8
SRR2921573	17
SRR2921574	0
SRR2921575	5
SRR2921576	1
SRR2921577	19
SRR2921578	22
SRR2921579	18
SRR2921580	3
SRR2921581	20
SRR2921582	0
SRR2921583	18
SRR2921584	0
SRR2921585	3
SRR2921586	3
SRR2921587	3
SRR2921588	17
SRR2921589	1
SRR2921590	20
SRR2921591	0
SRR2921592	0
SRR2921593	3
SRR2921594	20
SRR2921595	0
SRR2921596	18
SRR2921597	3
SRR2921598	1
SRR2921599	17
SRR2921600	1
SRR2921601	20
SRR2921602	20
SRR2921603	3
SRR2921604	1
SRR2921605	17
SRR2921606	0
SRR2921607	18
SRR2921608	1
SRR2921609	17
SRR2921610	18
SRR2921611	18
SRR2921612	17
SRR2921613	3
SRR2921614	17
SRR2921615	3
SRR2921616	20
SRR2921617	18
SRR2921618	17
SRR2921619	17
SRR2921620	1
SRR2921621	0
SRR2921622	0
SRR2921623	3
SRR2921624	3
SRR2921625	3
SRR2921626	17
SRR2921627	3
SRR2921628	3
SRR2921629	3
SRR2921630	3
SRR2921631	3
SRR2921632	17
SRR2921633	3
SRR2921634	17
SRR2921635	20
SRR2921636	1
SRR2921637	3
SRR2921638	20
SRR2921639	3
SRR2921640	3
SRR2921641	3
SRR2921642	1
SRR2921643	18
SRR2921644	3
SRR2921645	3
SRR2921646	3
SRR2921647	0
SRR2921648	1
SRR2921649	1
SRR2921650	1
SRR2921651	1
SRR2921652	1
SRR2921653	0
SRR2921654	3
SRR2921655	3
SRR2921656	18
SRR2921657	3
SRR2921658	17
SRR2921659	1
SRR2921660	3
SRR2921661	0
SRR2921662	1
SRR2921663	17
SRR2921664	0
SRR2921665	0
SRR2921666	1
SRR2921667	17
SRR2921668	3
SRR2921669	3
SRR2921670	17
SRR2921671	17
SRR2921672	0
SRR2921673	1
SRR2921674	18
SRR2921675	17
SRR2921676	17
SRR2921677	1
SRR2921678	3
SRR2921679	0
SRR2921680	20
SRR2921681	17
SRR2921682	17
SRR2921683	17
SRR2921684	18
SRR2921685	3
SRR2921686	17
SRR2921687	3
SRR2921688	17
SRR2921689	18
SRR2921690	17
SRR2921691	0
SRR2921692	1
SRR2921693	17
SRR2921694	17
SRR2921695	3
SRR2921696	17
SRR2921697	20
SRR2921698	3
SRR2921699	3
SRR2921700	17
SRR2921701	18
SRR2921702	17
SRR2921703	3
SRR2921704	3
SRR2921705	3
SRR2921706	3
SRR2921707	3
SRR2921708	0
SRR2921709	3
SRR2921710	20
SRR2921711	20
SRR2921712	17
